127.0.0.1 - - [17/May/2017:14:16:33 +0530] "GET / HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [17/May/2017:14:16:35 +0530] "GET /RestServices/ HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [17/May/2017:14:17:29 +0530] "GET /RestServices//getallblog HTTP/1.1" 200 933
0:0:0:0:0:0:0:1 - - [17/May/2017:14:18:23 +0530] "POST /RestServices//addblog HTTP/1.1" 415 1098
0:0:0:0:0:0:0:1 - - [17/May/2017:14:19:54 +0530] "GET /RestServices//getallblog HTTP/1.1" 200 933
0:0:0:0:0:0:0:1 - - [17/May/2017:14:21:54 +0530] "POST /RestServices//addblog HTTP/1.1" 415 1098
0:0:0:0:0:0:0:1 - - [17/May/2017:14:22:22 +0530] "GET /RestServices//getallblog HTTP/1.1" 200 933
0:0:0:0:0:0:0:1 - - [17/May/2017:14:23:41 +0530] "POST /RestServices//addblog HTTP/1.1" 415 1098
0:0:0:0:0:0:0:1 - - [17/May/2017:14:24:44 +0530] "POST /RestServices//addblog HTTP/1.1" 415 1098
0:0:0:0:0:0:0:1 - - [17/May/2017:14:25:12 +0530] "POST /RestServices//addblog HTTP/1.1" 415 1098
0:0:0:0:0:0:0:1 - - [17/May/2017:14:26:12 +0530] "POST /RestServices//addblog HTTP/1.1" 415 1098
0:0:0:0:0:0:0:1 - - [17/May/2017:14:26:40 +0530] "GET /RestServices/ HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [17/May/2017:14:27:03 +0530] "POST /RestServices//addblog HTTP/1.1" 415 1098
0:0:0:0:0:0:0:1 - - [17/May/2017:14:29:02 +0530] "POST /RestServices//addblog HTTP/1.1" 415 1098
0:0:0:0:0:0:0:1 - - [17/May/2017:14:30:37 +0530] "GET /RestServices/ HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [17/May/2017:14:31:13 +0530] "POST /RestServices//addblog HTTP/1.1" 415 1098
0:0:0:0:0:0:0:1 - - [17/May/2017:14:46:33 +0530] "GET /RestServices//getallblog HTTP/1.1" 200 933
0:0:0:0:0:0:0:1 - - [17/May/2017:14:48:49 +0530] "POST /RestServices//addblog HTTP/1.1" 415 1098
0:0:0:0:0:0:0:1 - - [17/May/2017:15:02:30 +0530] "POST /RestServices/addblog HTTP/1.1" 415 1098
0:0:0:0:0:0:0:1 - - [17/May/2017:15:03:55 +0530] "POST /RestServices/addblog HTTP/1.1" 200 371
